Reading	X	Y	Z	L*	a*	b*
1	0.334487	0.313181	0.518913	2.828952	1.313050	-4.919482
2	0.573891	0.538120	0.901550	4.860816	2.222337	-8.416949
3	2.077819	1.949091	3.439285	15.217781	4.579873	-15.527018
4	3.448343	3.239089	5.791134	20.977052	5.350452	-18.752007
5	7.624653	7.184972	13.008964	32.224346	6.748387	-24.909075
6	10.318458	9.740714	17.674413	37.372997	7.328353	-27.654478
7	16.939904	16.052671	29.100280	47.043515	8.299059	-32.621260
8	20.852979	19.837019	35.853776	51.652439	8.520389	-34.855869
9	30.096676	28.637445	51.433945	60.460315	9.601717	-39.033769
10	35.137311	33.585153	59.887307	64.631938	9.587070	-40.731339
11	46.745642	44.780622	78.995342	72.747208	10.259369	-44.121985
12	53.129363	51.031775	89.470142	76.698252	10.351921	-45.664149
13	67.543860	65.211313	112.076490	84.592508	10.472456	-48.078102
14	74.977453	72.614675	123.473956	88.263617	10.375636	-49.016378
15	90.961737	88.564667	146.823005	95.398195	10.216151	-50.312213
16	99.739546	97.465319	159.145041	99.011524	9.933547	-50.681510
17	117.637066	115.658327	182.506473	105.763454	9.428924	-50.671188
18	127.287298	125.581572	194.100064	109.150703	9.055951	-50.236526
19	147.371746	146.434306	215.459030	115.726231	8.165169	-48.319363
20	157.650293	157.356392	224.493180	118.923040	7.476080	-46.604661
21	179.162769	180.222900	237.977466	125.165308	6.228710	-41.324491
22	190.710855	192.666743	241.147880	128.342284	5.467832	-37.105719

23	190.768456	192.629090	241.145929	128.332881	5.571546	-37.121160
24	0.333694	0.312327	0.517917	2.821236	1.314308	-4.913986
25	78.922276	43.991506	7.207147	72.222820	87.443255	63.362114
26	69.538415	125.095927	14.137769	108.989169	-90.356890	104.405000
27	44.167500	25.127109	220.656849	57.199059	69.919139	-151.425594
28	147.810020	168.243577	20.797581	121.965602	-18.158288	111.524352
29	113.387458	149.941131	234.365582	116.769479	-44.523372	-54.352307
30	121.844955	68.337929	227.442989	86.175145	100.157123	-104.284249
