Reading	X	Y	Z	L*	a*	b*
1	0.345786	0.325394	0.543663	2.939273	1.293780	-5.196547
2	0.418986	0.389985	0.597947	3.522724	1.734794	-5.215479
3	0.696892	0.645996	0.921025	5.835258	2.988998	-7.054189
4	0.935545	0.870438	1.242442	7.862637	3.787571	-8.249222
5	1.649295	1.549605	2.283228	12.920005	4.173722	-10.636488
6	2.134097	2.014035	3.020033	15.560726	4.346705	-11.994807
7	3.415164	3.250620	5.019157	21.020880	4.631491	-14.834207
8	4.177304	3.990131	6.227062	23.638789	4.751803	-16.183136
9	5.864209	5.633090	8.914223	28.467243	4.961098	-18.595088
10	6.766076	6.516068	10.355227	30.678820	5.031820	-19.661021
11	8.742114	8.455866	13.498447	34.914797	5.161873	-21.608957
12	9.797105	9.500902	15.174463	36.931345	5.164684	-22.484254
13	12.185331	11.857428	18.890625	40.988622	5.274204	-24.105049
14	13.499569	13.157594	20.885132	42.999747	5.320120	-24.800719
15	16.236465	15.893693	25.023619	46.834708	5.267913	-26.047603
16	17.650518	17.353769	27.166011	48.702728	5.009558	-26.557424
17	20.851991	20.507792	31.574390	52.406539	5.265220	-27.271173
18	22.587393	22.308405	33.939170	54.352710	4.981535	-27.454067
19	26.201132	26.021365	38.421812	58.057324	4.644841	-27.346916
20	28.114223	28.054472	40.631817	59.937919	4.236620	-27.021730
21	32.339341	32.377815	44.315671	63.653923	4.059676	-25.250869
22	34.840136	35.117145	45.428732	65.839768	3.371216	-22.832128

23	34.840136	35.117145	45.428732	65.839768	3.371216	-22.832128
24	0.344033	0.323996	0.542292	2.926642	1.277461	-5.192450
25	14.661000	9.365778	5.438940	36.679213	39.805642	10.028334
26	13.705262	18.919738	10.293365	50.593171	-26.098134	14.873881
27	7.514035	7.872186	30.705393	33.715267	-0.720914	-58.152894
28	27.882457	27.747127	15.185408	59.659592	4.522704	16.675037
29	20.828986	26.429159	40.553959	58.442184	-20.860902	-29.499631
30	21.665084	16.787847	35.637111	47.991603	28.146407	-40.861870
