Reading	X	Y	Z	L*	a*	b*
1	1.159334	1.141084	1.486143	10.115430	1.980415	-7.403669
2	1.336580	1.349590	1.531409	11.617980	1.066895	-5.340077
3	1.722360	1.784101	1.808088	14.310829	0.053753	-3.711645
4	2.599777	2.739840	2.739654	18.970327	-0.802787	-3.993926
5	4.314579	4.563726	4.965610	25.453816	-1.168673	-6.910468
6	5.665644	5.978209	6.858013	29.357420	-1.120725	-9.086928
7	7.166747	7.548870	9.052284	33.025117	-1.088457	-11.225968
8	9.155524	9.610062	12.025075	37.133291	-0.914236	-13.649548
9	11.581566	12.114527	15.730847	41.397566	-0.703033	-16.157406
10	14.302957	14.929161	19.982757	45.537020	-0.564954	-18.576990
11	17.519112	18.185748	24.974757	49.720630	-0.084241	-20.984352
12	20.739321	21.474832	30.094216	53.465299	0.160073	-23.140161
13	24.590202	25.383873	36.142228	57.447545	0.495057	-25.269501
14	28.490440	29.425166	42.490009	61.155040	0.462791	-27.295246
15	33.051771	34.047248	49.660840	65.000058	0.789885	-29.220223
16	37.936739	38.987552	57.382978	68.742247	1.113467	-31.103255
17	43.175200	44.316140	65.657391	72.439300	1.320084	-32.867265
18	48.904702	50.176844	74.851626	76.177679	1.429392	-34.698381
19	55.318845	56.594983	84.778961	79.951249	1.885652	-36.399409
20	61.774018	63.192754	94.892989	83.543693	1.970609	-37.932106
21	68.560339	69.959674	105.187840	86.977082	2.410618	-39.332119
22	75.927271	77.468902	116.405419	90.536998	2.509976	-40.644999
23	84.068416	85.745758	128.359001	94.203538	2.651287	-41.753317
24	92.042156	93.808719	139.944066	97.554859	2.854084	-42.747829
25	101.143602	103.027592	152.817408	101.159049	3.038748	-43.634363
26	109.832404	111.814974	164.588106	104.399489	3.221244	-44.198655
27	119.784911	121.821240	177.462309	107.888880	3.499629	-44.583274
28	129.797697	132.064557	189.790013	111.268253	3.511017	-44.601850
29	140.631688	143.025203	202.117609	114.695965	3.688224	-44.289099
30	152.013901	154.593298	213.713888	118.128647	3.794931	-43.431612
31	163.864954	166.684282	223.660915	121.538053	3.845042	-41.750527
32	176.005286	178.990755	230.303695	124.842867	3.986057	-38.786664

33	177.380908	180.638967	231.781554	125.273857	3.716202	-38.644677
34	1.161750	1.133887	1.552199	10.060410	2.297073	-8.264107
35	70.002201	45.464071	30.347893	73.196421	64.916829	10.478594
36	73.690426	102.873333	40.665275	101.100547	-47.601991	43.904979
37	36.961560	35.262614	164.129164	65.952617	9.971119	-110.252122
38	142.098979	146.522095	69.480282	115.752550	1.099221	38.281092
39	109.554702	137.147021	202.958695	112.880372	-33.774758	-47.792920
40	104.879450	79.142534	192.958814	91.298744	51.719532	-80.493380
