Reading	X	Y	Z	L*	a*	b*
1	0.427226	0.391119	0.649841	3.532966	2.023399	-6.177572
2	0.515682	0.474823	0.789797	4.289056	2.336307	-7.487379
3	0.642528	0.594589	0.992361	5.370900	2.795281	-8.980320
4	0.819733	0.763017	1.275804	6.892301	3.393189	-10.360399
5	1.140469	1.069079	1.788605	9.554136	3.775073	-11.711072
6	1.733372	1.636336	2.740470	13.449785	4.043123	-13.518487
7	2.701844	2.566728	4.294668	18.217736	4.378106	-15.684050
8	4.251582	4.062557	6.775968	23.877184	4.758975	-18.186118
9	6.051663	5.803986	9.652361	28.912454	5.115305	-20.387470
10	7.710096	7.413745	12.287020	32.730837	5.363919	-21.998793
11	9.807050	9.459900	15.587896	36.855092	5.572286	-23.639490
12	12.422131	12.004312	19.719462	41.222973	5.879015	-25.464998
13	15.000964	14.511519	23.705363	44.957752	6.169302	-26.881245
14	17.101257	16.591394	27.021798	47.741011	6.178930	-27.970728
15	19.587040	18.977837	30.770111	50.661266	6.592144	-29.036660
16	22.253951	21.629573	34.907237	53.631749	6.564892	-30.098177
17	25.227399	24.582089	39.510061	56.665944	6.579494	-31.195935
18	28.296923	27.647328	44.106180	59.568775	6.544414	-32.037629
19	31.678910	30.921221	49.067880	62.441074	6.906364	-32.957436
20	35.317874	34.619200	54.401001	65.451108	6.666871	-33.653214
21	39.592936	38.844053	60.651010	68.638151	6.818084	-34.584935
22	44.554753	43.804122	67.638004	72.097378	6.825440	-35.302092
23	49.771433	49.010497	74.992532	75.457858	6.873934	-36.060874
24	55.477605	54.668130	82.714561	78.849722	7.030688	-36.646882
25	61.999019	61.273021	91.359287	82.525297	6.882940	-37.053743
26	69.570305	69.030122	100.926678	86.518963	6.565978	-37.152931
27	77.151216	76.815933	110.127473	90.236827	6.271579	-37.054956
28	84.760435	84.590950	118.776914	93.706566	6.100481	-36.693397
29	94.949830	95.189857	129.457350	98.109433	5.594215	-35.678183
30	106.804546	107.539479	139.960586	102.844923	5.078653	-33.636416
31	115.697428	116.897630	146.234283	106.196816	4.608280	-31.369509
32	121.795317	123.381279	149.195392	108.415478	4.220200	-29.167113
33	121.795317	123.381279	149.195392	108.415478	4.220200	-29.167113
34	0.427354	0.391151	0.650539	3.533248	2.027347	-6.190266
35	55.509378	31.260651	2.961776	62.727053	76.604324	69.756244
36	43.927962	80.674025	8.561921	91.986442	-80.724524	92.192645
37	26.129149	15.251464	139.940875	45.976707	56.419612	-131.673866
38	97.858472	109.628213	10.752346	103.609434	-13.084199	104.817308
39	69.369772	95.278756	147.023925	98.144945	-43.977313	-45.686949
40	79.519027	45.189122	142.049449	73.016249	85.199175	-86.246025
