Reading	X	Y	Z	L*	a*	b*
1	0.002437	0.001367	0.001818	0.012351	0.045164	-0.013029
2	189.645629	88.009129	0.000000	95.164785	147.303556	164.077215
3	96.972822	269.229177	17.721413	145.373430	-194.621869	158.447178
4	74.517742	24.829312	438.718048	56.908733	144.584370	-223.401129
5	282.338056	352.106730	15.926769	160.474827	-45.341919	188.672264
6	155.977987	269.622918	410.160897	145.452060	-108.963341	-62.994957
7	250.150125	106.629677	423.815459	102.508824	176.224125	-140.781794
8	330.057886	347.497852	404.644756	159.701457	-3.786483	-36.889831
9	0.002437	0.001367	0.001818	0.012351	0.045164	-0.013029
10	0.533897	0.570564	0.651434	5.153883	-0.655876	-3.412952
11	2.240999	2.389408	2.684177	17.410895	-1.322199	-6.245707
12	5.144151	5.474231	6.156396	28.045246	-1.621818	-8.264839
13	9.686830	10.302082	11.601219	38.379222	-1.954867	-10.249861
14	15.477481	16.442278	18.635188	47.549477	-2.184092	-12.239206
15	23.174455	24.557424	27.967623	56.641632	-2.236981	-14.214995
16	33.375005	35.221168	40.320899	65.920496	-2.040498	-16.303029
17	43.635708	45.956785	52.838185	73.517484	-1.972064	-18.062415
18	56.261625	59.255774	68.302494	81.431984	-2.149880	-19.818958
19	71.202667	75.006716	86.345294	89.396140	-2.355265	-21.350523
20	87.006928	91.638555	105.675434	96.672362	-2.488387	-22.950713
21	106.646430	112.268395	129.607423	104.562014	-2.578023	-24.642819
22	126.699140	133.426649	154.093623	111.704298	-2.797050	-26.134784
23	149.409295	157.315574	181.524864	118.911373	-2.921681	-27.534295
24	174.170088	183.381436	211.533658	125.985211	-3.069123	-28.948529
25	201.305721	212.039379	244.122879	133.026498	-3.308938	-30.200679
26	230.462135	242.804196	279.288686	139.910986	-3.511162	-31.504825
27	259.560383	273.509743	315.004879	146.224181	-3.694866	-32.911822
28	293.346902	308.968558	357.525290	152.951772	-3.735990	-34.788878
29	329.498071	346.893821	403.541159	159.599595	-3.773696	-36.756238
30	0.002437	0.001367	0.001818	0.012351	0.045164	-0.013029
31	0.012103	0.015225	0.013159	0.137524	-0.104061	-0.011327
32	0.070431	0.078745	0.090576	0.711303	-0.221888	-0.483682
33	0.187640	0.206771	0.231843	1.867758	-0.473663	-1.156892
34	0.309001	0.331804	0.381130	2.997175	-0.441200	-2.028130
35	301.746717	317.960267	368.204990	154.575089	-3.882769	-35.205100
36	307.083389	323.543821	375.014955	155.567765	-3.875150	-35.511341
37	315.157454	332.039529	385.139461	157.056501	-3.900472	-35.899713
38	323.878792	341.171678	396.366580	158.628710	-3.894675	-36.406054
39	329.107774	346.681466	402.809965	159.563756	-3.916697	-36.612845
40	69.976331	73.708824	84.872274	88.784686	-2.329334	-21.243369
41	98.707047	76.926944	63.647114	90.287979	45.784078	-0.182390
42	126.270954	79.653652	42.433769	91.529235	83.546798	25.144821
43	152.848877	81.222161	19.590789	92.230460	116.488582	62.749512
44	189.939580	88.151472	0.000000	95.224684	147.368875	164.180489
45	235.280022	247.963351	285.181748	141.007532	-3.611209	-31.711797
46	181.228489	249.945299	183.687398	141.424738	-61.501597	10.252897
47	140.620781	249.148981	109.031589	141.257377	-110.815280	51.644425
48	112.839613	251.028850	56.758803	141.651897	-152.626525	95.247910
49	96.782667	268.639945	17.691141	145.255617	-194.441712	158.312295
50	23.838653	25.214733	28.777380	57.284048	-2.063985	-14.440535
51	26.394989	24.981077	50.323959	57.056979	9.753429	-43.663528
52	30.149460	24.300200	85.655611	56.387116	27.356772	-77.720520
53	39.407646	23.930132	161.628960	56.017773	60.635620	-126.097324
54	74.606294	24.842114	439.132755	56.921261	144.712049	-223.489493
55	306.897865	323.466353	374.282763	155.554070	-3.964298	-35.319186
56	291.149486	323.514883	249.061138	155.562649	-16.803358	6.731500
57	282.645376	328.059076	153.345041	156.362192	-27.355599	51.261095
58	274.983275	331.097191	74.646806	156.892633	-36.167459	104.642102
59	282.210027	351.797567	15.912755	160.423161	-45.227363	188.617099
60	259.374294	273.335353	314.821120	146.189695	-3.712482	-32.910482
61	233.382141	272.346971	338.978675	145.993966	-26.919317	-41.046133
62	206.519632	269.294062	359.253573	145.386393	-51.114102	-48.357224
63	179.563708	268.534647	384.352525	145.234546	-79.818432	-56.054572
64	155.849499	269.410875	409.975187	145.409725	-108.942073	-63.016422
65	92.755260	97.669664	112.487289	99.091845	-2.502709	-23.349555
66	114.784212	99.692265	152.662147	99.880887	30.430495	-45.754877
67	142.465495	100.105350	203.702891	100.040721	69.311406	-70.259854
68	182.524898	102.046738	277.660571	100.786067	115.132950	-98.376879
69	250.286124	106.692649	423.630686	102.532148	176.248073	-140.691420
